City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,georgetown,5.4112,100.3354,27.75,95,20,1.54,MY,1694991954
84,oranjemund,-28.55,16.4333,12.13,88,0,6.33,NA,1694991955
85,aykhal,66.0,111.5,-4.87,100,97,2.29,RU,1694991955
86,taunggyi,20.7833,97.0333,17.6,97,100,1.36,MM,1694991955
87,segamat,2.5148,102.8158,25.25,88,99,0.64,MY,1694991955
88,vadso,70.0744,29.7487,3.49,87,30,2.57,NO,1694991956
89,langepas,61.2544,75.2124,12.44,82,71,3.97,RU,1694991956
90,abepura,-2.6333,140.5833,27.45,78,20,1.03,ID,1694991956
91,trairi,-3.2778,-39.2689,26.0,83,15,5.73,BR,1694991775
92,ribeira grande,38.5167,-28.7,18.21,79,49,4.02,PT,1694991956
93,wailua homesteads,22.0669,-159.378,30.24,65,40,5.66,US,1694991957
94,kavaratti,10.5669,72.642,27.47,81,74,4.54,IN,1694991957
95,la passe,45.5549,-0.8967,18.13,93,46,3.61,FR,1694991957
96,port mathurin,-19.6833,63.4167,22.85,77,2,9.17,MU,1694991957
97,margaret river,-33.95,115.0667,14.03,66,95,6.58,AU,1694991958
98,trinity beach,-16.7888,145.6968,22.78,97,75,5.66,AU,1694991958
99,el bayadh,33.6832,1.0193,22.94,40,97,2.09,DZ,1694991958
100,enewetak,11.3474,162.3373,28.95,78,100,7.6,MH,1694991959
101,khandyga,62.6667,135.6,3.38,90,100,1.74,RU,1694991959
102,vernon,50.2581,-119.2691,29.31,21,32,2.57,CA,1694991911
103,tazacorte,28.629,-17.9293,21.75,80,100,5.14,ES,1694991959
104,nuuk,64.1835,-51.7216,3.34,65,100,2.57,GL,1694991828
105,kodiak,57.79,-152.4072,12.73,44,0,7.2,US,1694991960
106,argo,37.6333,22.7333,22.66,54,1,1.84,GR,1694991960
107,berezovyy,51.6667,135.7,9.64,88,100,0.32,RU,1694991960
108,xiulin,29.7167,112.4,24.8,83,74,3.33,CN,1694991960
109,khowy,38.5503,44.9521,15.77,66,35,1.21,IR,1694991961
110,college,64.8569,-147.8028,8.03,95,100,7.72,US,1694991961
111,dryden,49.7833,-92.7503,16.16,51,0,1.54,CA,1694991961
